date,buoyid,obs,mle
2010-03-02,46087,NA,5.5157
2010-03-02,46211,10.3477,10.3477
2010-03-03,46041,10.4208,10.4208
2010-03-03,46050,10.7625,10.7625
2010-03-03,46087,NA,5.5305
2010-03-03,46211,10.3354,10.3354
2010-03-04,46041,10.3375,10.3375
2010-03-04,46050,10.8833,10.8833
2010-03-04,46087,NA,5.5548
2010-03-04,46211,10.3638,10.3638
2010-03-05,46041,10.5125,10.5125
2010-03-05,46050,11.0792,11.0792
2010-03-05,46087,NA,5.6248
2010-03-05,46211,10.3439,10.3439
2010-03-06,46041,10.713,10.713
2010-03-06,46050,11.1958,11.1958
2010-03-06,46087,NA,5.6868
2010-03-06,46211,10.3277,10.3277
2010-03-07,46041,10.5292,10.5292
2010-03-07,46050,11.2417,11.2417
2010-03-07,46087,NA,5.6855
2010-03-07,46211,10.3729,10.3729
2010-03-08,46041,10.2208,10.2208
2010-03-08,46050,11.0333,11.0333
2010-03-08,46087,NA,5.5734
2010-03-08,46211,10.1065,10.1065
2010-03-09,46041,9.8875,9.8875
2010-03-09,46050,10.7792,10.7792
2010-03-09,46087,NA,5.4892
2010-03-09,46211,10.0851,10.0851
2010-03-10,46041,9.9792,9.9792
2010-03-10,46050,10.725,10.725
2010-03-10,46087,NA,5.4765
2010-03-10,46211,9.883,9.883
2010-03-11,46041,10.05,10.05
2010-03-11,46050,10.8167,10.8167
2010-03-11,46087,NA,5.5046
2010-03-11,46211,9.8106,9.8106
2010-03-12,46041,9.9458,9.9458
2010-03-12,46050,10.8833,10.8833
2010-03-12,46087,NA,5.5078
2010-03-12,46211,9.7833,9.7833
2010-03-13,46041,10.1,10.1
2010-03-13,46050,10.7913,10.7913
2010-03-13,46087,NA,5.5265
2010-03-13,46211,9.7521,9.7521
2010-03-14,46041,10.0304,10.0304
2010-03-14,46050,10.7565,10.7565
2010-03-14,46087,NA,5.5054
2010-03-14,46211,9.6404,9.6404
2010-03-15,46041,10.0417,10.0417
2010-03-15,46050,10.8833,10.8833
2010-03-15,46087,NA,5.585
2010-03-15,46211,9.9128,9.9128
2010-03-16,46041,10.2042,10.2042
2010-03-16,46050,10.925,10.925
2010-03-16,46087,NA,5.6418
2010-03-16,46211,9.9771,9.9771
2010-03-17,46041,10.075,10.075
2010-03-17,46050,10.8083,10.8083
2010-03-17,46087,NA,5.6069
2010-03-17,46211,9.9208,9.9208
2010-03-18,46041,9.9708,9.9708
2010-03-18,46050,10.7458,10.7458
2010-03-18,46087,NA,5.5911
2010-03-18,46211,9.9042,9.9042
2010-03-19,46041,10.0583,10.0583
2010-03-19,46050,10.7667,10.7667
2010-03-19,46087,NA,5.6273
2010-03-19,46211,9.9362,9.9362
2010-03-20,46041,10.2042,10.2042
2010-03-20,46050,10.9375,10.9375
2010-03-20,46087,NA,5.6921
2010-03-20,46211,9.9375,9.9375
2010-03-21,46041,10.1833,10.1833
2010-03-21,46050,10.8333,10.8333
2010-03-21,46087,NA,5.7047
2010-03-21,46211,10.0563,10.0563
2010-03-22,46041,10.1583,10.1583
2010-03-22,46050,10.8833,10.8833
2010-03-22,46087,NA,5.7498
2010-03-22,46211,10.2271,10.2271
2010-03-23,46041,10.3875,10.3875
2010-03-23,46050,10.9542,10.9542
2010-03-23,46087,NA,5.8192
2010-03-23,46211,10.2739,10.2739
2010-03-24,46041,10.3792,10.3792
2010-03-24,46050,10.8958,10.8958
2010-03-24,46087,NA,5.8822
2010-03-24,46211,10.6479,10.6479
2010-03-25,46041,10.1375,10.1375
2010-03-25,46050,10.8292,10.8292
2010-03-25,46087,NA,5.8447
2010-03-25,46211,10.6375,10.6375
2010-03-26,46041,10.0542,10.0542
2010-03-26,46050,10.8542,10.8542
2010-03-26,46087,NA,5.8466
2010-03-26,46211,10.6229,10.6229
2010-03-27,46041,10.2167,10.2167
2010-03-27,46050,10.8125,10.8125
2010-03-27,46087,NA,5.8791
2010-03-27,46211,10.6191,10.6191
2010-03-28,46041,10.0458,10.0458
2010-03-28,46050,10.7792,10.7792
2010-03-28,46087,NA,5.8555
2010-03-28,46211,10.5913,10.5913
2010-03-29,46041,9.8458,9.8458
2010-03-29,46050,10.6625,10.6625
2010-03-29,46087,NA,5.8109
2010-03-29,46211,10.5455,10.5455
2010-03-30,46041,9.9042,9.9042
2010-03-30,46050,10.3478,10.3478
2010-03-30,46087,NA,5.7887
2010-03-30,46211,10.5783,10.5783
2010-03-31,46041,10.0875,10.0875
2010-03-31,46050,10.4042,10.4042
2010-03-31,46087,NA,5.8306
2010-03-31,46211,10.5146,10.5146
2010-04-01,46041,10.175,10.175
2010-04-01,46050,10.3292,10.3292
2010-04-01,46087,NA,5.8381
2010-04-01,46211,10.4638,10.4638
2010-04-02,46041,10.1042,10.1042
2010-04-02,46050,10.3375,10.3375
2010-04-02,46087,NA,5.8404
2010-04-02,46211,10.4558,10.4558
2010-04-03,46041,9.9708,9.9708
2010-04-03,46050,10.4087,10.4087
2010-04-03,46087,NA,5.7957
2010-04-03,46211,10.1542,10.1542
2010-04-04,46041,9.7957,9.7957
2010-04-04,46050,10.5,10.5
2010-04-04,46087,NA,5.7896
2010-04-04,46211,10.1152,10.1152
2010-04-05,46041,9.7625,9.7625
2010-04-05,46050,10.4917,10.4917
2010-04-05,46087,NA,5.7721
2010-04-05,46211,9.963,9.963
2010-04-06,46041,9.9667,9.9667
2010-04-06,46050,10.4667,10.4667
2010-04-06,46087,NA,5.8055
2010-04-06,46211,9.9062,9.9062
2010-04-07,46041,10.0333,10.0333
2010-04-07,46050,10.6042,10.6042
2010-04-07,46087,NA,5.8308
2010-04-07,46211,9.775,9.775
2010-04-08,46041,9.925,9.925
2010-04-08,46050,10.55,10.55
2010-04-08,46087,NA,5.8357
2010-04-08,46211,9.883,9.883
2010-04-09,46041,9.9708,9.9708
2010-04-09,46050,10.5042,10.5042
2010-04-09,46087,NA,5.807
2010-04-09,46211,9.6191,9.6191
2010-04-10,46041,9.9,9.9
2010-04-10,46050,10.6333,10.6333
2010-04-10,46087,NA,5.8639
2010-04-10,46211,9.8298,9.8298
2010-04-11,46041,10.2042,10.2042
2010-04-11,46050,10.85,10.85
2010-04-11,46087,NA,5.9995
2010-04-11,46211,10.0681,10.0681
2010-04-12,46041,10.2583,10.2583
2010-04-12,46050,11.0875,11.0875
2010-04-12,46087,NA,6.0812
2010-04-12,46211,10.2,10.2
2010-04-13,46041,10.2292,10.2292
2010-04-13,46050,11.2417,11.2417
2010-04-13,46087,NA,6.1317
2010-04-13,46211,10.3044,10.3044
2010-04-14,46041,10.5875,10.5875
2010-04-14,46050,11.375,11.375
2010-04-14,46087,NA,6.242
2010-04-14,46211,10.4146,10.4146
2010-04-15,46041,10.65,10.65
2010-04-15,46050,11.3708,11.3708
2010-04-15,46087,NA,6.2952
2010-04-15,46211,10.6021,10.6021
2010-04-16,46041,10.8,10.8
2010-04-16,46050,11.5708,11.5708
2010-04-16,46087,NA,6.3903
2010-04-16,46211,10.7596,10.7596
2010-04-17,46041,11.0375,11.0375
2010-04-17,46050,11.625,11.625
2010-04-17,46087,NA,6.4661
2010-04-17,46211,10.8542,10.8542
2010-04-18,46041,10.8167,10.8167
2010-04-18,46050,11.5583,11.5583
2010-04-18,46087,NA,6.4767
2010-04-18,46211,11.1229,11.1229
2010-04-19,46041,10.9583,10.9583
2010-04-19,46050,11.8083,11.8083
2010-04-19,46087,NA,6.6179
2010-04-19,46211,11.5255,11.5255
2010-04-20,46041,10.7625,10.7625
2010-04-20,46050,11.5083,11.5083
2010-04-20,46087,NA,6.5219
2010-04-20,46211,11.3383,11.3383
2010-04-21,46041,10.5333,10.5333
2010-04-21,46050,11.0083,11.0083
2010-04-21,46087,NA,6.3808
2010-04-21,46211,11.1042,11.1042
2010-04-22,46041,10.7583,10.7583
2010-04-22,46050,11.2,11.2
2010-04-22,46087,NA,6.3637
2010-04-22,46211,10.4958,10.4958
2010-04-23,46041,10.6792,10.6792
2010-04-23,46050,11.3,11.3
2010-04-23,46087,NA,6.3767
2010-04-23,46211,10.4708,10.4708
2010-04-24,46041,10.5333,10.5333
2010-04-24,46050,11.2708,11.2708
2010-04-24,46087,NA,6.3477
2010-04-24,46211,10.3809,10.3809
2010-04-25,46041,10.1125,10.1125
2010-04-25,46050,11.3458,11.3458
2010-04-25,46087,NA,6.3187
2010-04-25,46211,10.4609,10.4609
2010-04-26,46041,10.0833,10.0833
2010-04-26,46050,11.45,11.45
2010-04-26,46087,NA,6.3961
2010-04-26,46211,10.783,10.783
2010-04-27,46041,9.8375,9.8375
2010-04-27,46050,10.6333,10.6333
2010-04-27,46087,NA,6.2415
2010-04-27,46211,10.7978,10.7978
2010-04-28,46041,10.1542,10.1542
2010-04-28,46050,10.8917,10.8917
2010-04-28,46087,NA,6.4058
2010-04-28,46211,11.1604,11.1604
2010-04-29,46041,10.2417,10.2417
2010-04-29,46050,10.9542,10.9542
2010-04-29,46087,NA,6.4687
2010-04-29,46211,11.317,11.317
2010-04-30,46041,10.225,10.225
2010-04-30,46050,11.3542,11.3542
2010-04-30,46087,NA,6.5573
2010-04-30,46211,11.4,11.4
2010-05-01,46041,10.2042,10.2042
2010-05-01,46050,11.6292,11.6292
2010-05-01,46087,NA,6.59
2010-05-01,46211,11.2646,11.2646
2010-05-02,46041,10.2292,10.2292
2010-05-02,46050,11.625,11.625
2010-05-02,46087,NA,6.6081
2010-05-02,46211,11.2714,11.2714
2010-05-03,46041,10.1042,10.1042
2010-05-03,46050,11.5625,11.5625
2010-05-03,46087,NA,6.5749
2010-05-03,46211,11.1673,11.1673
2010-05-04,46041,9.9583,9.9583
2010-05-04,46050,11.45,11.45
2010-05-04,46087,NA,6.5411
2010-05-04,46211,11.1304,11.1304
2010-05-05,46041,10.125,10.125
2010-05-05,46050,11.4583,11.4583
2010-05-05,46087,NA,6.5901
2010-05-05,46211,11.175,11.175
2010-05-06,46041,10.275,10.275
2010-05-06,46050,11.6583,11.6583
2010-05-06,46087,NA,6.6858
2010-05-06,46211,11.3362,11.3362
2010-05-07,46041,10.2167,10.2167
2010-05-07,46050,11.8833,11.8833
2010-05-07,46087,NA,6.7503
2010-05-07,46211,11.4854,11.4854
2010-05-08,46041,10.3,10.3
2010-05-08,46050,12.1167,12.1167
2010-05-08,46087,NA,6.8382
2010-05-08,46211,11.6313,11.6313
2010-05-09,46041,10.6208,10.6208
2010-05-09,46050,12.0833,12.0833
2010-05-09,46087,NA,6.9057
2010-05-09,46211,11.6792,11.6792
2010-05-10,46041,10.475,10.475
2010-05-10,46050,11.9,11.9
2010-05-10,46087,NA,6.8746
2010-05-10,46211,11.7292,11.7292
2010-05-11,46041,10.6417,10.6417
2010-05-11,46050,12.1208,12.1208
2010-05-11,46087,NA,6.8892
2010-05-11,46211,11.3478,11.3478
2010-05-12,46041,11.0375,11.0375
2010-05-12,46050,12.2375,12.2375
2010-05-12,46087,NA,6.925
2010-05-12,46211,10.9729,10.9729
2010-05-13,46041,10.7,10.7
2010-05-13,46050,11.6792,11.6792
2010-05-13,46087,NA,6.8038
2010-05-13,46211,11.0292,11.0292
2010-05-14,46041,11.0958,11.0958
2010-05-14,46050,11.5458,11.5458
2010-05-14,46087,NA,6.7716
2010-05-14,46211,10.4812,10.4812
2010-05-15,46041,10.9,10.9
2010-05-15,46050,11.4292,11.4292
2010-05-15,46087,NA,6.734
2010-05-15,46211,10.475,10.475
2010-05-16,46041,10.8292,10.8292
2010-05-16,46050,11.3833,11.3833
2010-05-16,46087,NA,6.7363
2010-05-16,46211,10.5208,10.5208
2010-05-17,46041,10.9917,10.9917
2010-05-17,46050,11.8792,11.8792
2010-05-17,46087,NA,6.9973
2010-05-17,46211,11.4021,11.4021
