date,buoyid,value,type
2022-03-11,46041,8.02479518230486,mle
2022-03-11,46050,8.712676203,mle
2022-03-11,46087,9.236047510779438,mle
2022-03-11,46211,8.533333341,mle
2022-03-12,46041,NA,obs
2022-03-12,46050,8.753146805,obs
2022-03-12,46087,NA,obs
2022-03-12,46211,8.591666798,obs
2022-03-12,46041,8.048564069812993,mle
2022-03-12,46050,8.753146804999998,mle
2022-03-12,46087,9.256378251251055,mle
2022-03-12,46211,8.591666798,mle
2022-03-13,46041,NA,obs
2022-03-13,46050,8.915384493,obs
2022-03-13,46087,NA,obs
2022-03-13,46211,8.402083317,obs
2022-03-13,46041,8.048194611121952,mle
2022-03-13,46050,8.915384493,mle
2022-03-13,46087,9.252570645523502,mle
2022-03-13,46211,8.402083316999999,mle
2022-03-14,46041,NA,obs
2022-03-14,46050,9.119014216,obs
2022-03-14,46087,NA,obs
2022-03-14,46211,8.625000219,obs
2022-03-14,46041,8.134675926721663,mle
2022-03-14,46050,9.119014216,mle
2022-03-14,46087,9.335613814086699,mle
2022-03-14,46211,8.625000219,mle
2022-03-15,46041,NA,obs
2022-03-15,46050,9.224647878,obs
2022-03-15,46087,NA,obs
2022-03-15,46211,8.652083516,obs
2022-03-15,46041,8.164933932590534,mle
2022-03-15,46050,9.224647878,mle
2022-03-15,46087,9.362433672919057,mle
2022-03-15,46211,8.652083516000001,mle
2022-03-16,46041,NA,obs
2022-03-16,46050,9.427777694,obs
2022-03-16,46087,NA,obs
2022-03-16,46211,8.78124998,obs
2022-03-16,46041,8.23338076443198,mle
2022-03-16,46050,9.427777694,mle
2022-03-16,46087,9.427442357723987,mle
2022-03-16,46211,8.781249979999998,mle
2022-03-17,46041,NA,obs
2022-03-17,46050,9.39861093,obs
2022-03-17,46087,NA,obs
2022-03-17,46211,8.927083075,obs
2022-03-17,46041,8.260567537087054,mle
2022-03-17,46050,9.39861093,mle
2022-03-17,46087,9.451190983342547,mle
2022-03-17,46211,8.927083075,mle
2022-03-18,46041,NA,obs
2022-03-18,46050,9.41597214,obs
2022-03-18,46087,NA,obs
2022-03-18,46211,8.810416579,obs
2022-03-18,46041,8.246428873543113,mle
2022-03-18,46050,9.41597214,mle
2022-03-18,46087,9.433614172762091,mle
2022-03-18,46211,8.810416579,mle
2022-03-19,46041,NA,obs
2022-03-19,46050,9.526056437,obs
2022-03-19,46087,NA,obs
2022-03-19,46211,8.972916623,obs
2022-03-19,46041,8.303450028438018,mle
2022-03-19,46050,9.526056437,mle
2022-03-19,46087,9.487197180620484,mle
2022-03-19,46211,8.972916623,mle
2022-03-20,46041,NA,obs
2022-03-20,46050,9.370833198,obs
2022-03-20,46087,NA,obs
2022-03-20,46211,8.931249936,obs
2022-03-20,46041,8.270638875099626,mle
2022-03-20,46050,9.370833198,mle
2022-03-20,46087,9.450947880245579,mle
2022-03-20,46211,8.931249936000002,mle
2022-03-21,46041,NA,obs
2022-03-21,46050,9.27638885,obs
2022-03-21,46087,NA,obs
2022-03-21,46211,8.916666567,obs
2022-03-21,46041,8.25463985736854,mle
2022-03-21,46050,9.27638885,mle
2022-03-21,46087,9.431510715477978,mle
2022-03-21,46211,8.916666567,mle
2022-03-22,46041,NA,obs
2022-03-22,46050,9.58723397,obs
2022-03-22,46087,NA,obs
2022-03-22,46211,9.093749881,obs
2022-03-22,46041,8.352866373874024,mle
2022-03-22,46050,9.58723397,mle
2022-03-22,46087,9.526299084946949,mle
2022-03-22,46211,9.093749881,mle
2022-03-23,46041,NA,obs
2022-03-23,46050,9.866433664,obs
2022-03-23,46087,NA,obs
2022-03-23,46211,9.289583445,obs
2022-03-23,46041,8.448625442200594,mle
2022-03-23,46050,9.866433664,mle
2022-03-23,46087,9.618620006237004,mle
2022-03-23,46211,9.289583445,mle
2022-03-24,46041,NA,obs
2022-03-24,46050,9.554861155,obs
2022-03-24,46087,NA,obs
2022-03-24,46211,9.154166619,obs
2022-03-24,46041,8.367958615447298,mle
2022-03-24,46050,9.554861154999998,mle
2022-03-24,46087,9.534515032447194,mle
2022-03-24,46211,9.154166619,mle
2022-03-25,46041,NA,obs
2022-03-25,46050,9.771328613,obs
2022-03-25,46087,NA,obs
2022-03-25,46211,9.556250016,obs
2022-03-25,46041,8.491179289056289,mle
2022-03-25,46050,9.771328613,mle
2022-03-25,46087,9.65429755901967,mle
2022-03-25,46211,9.556250016,mle
2022-03-26,46041,NA,obs
2022-03-26,46050,9.792253447,obs
2022-03-26,46087,NA,obs
2022-03-26,46211,9.824999909,obs
2022-03-26,46041,8.551470631330767,mle
2022-03-26,46050,9.792253447,mle
2022-03-26,46087,9.711150754257634,mle
2022-03-26,46211,9.824999909,mle
2022-03-27,46041,NA,obs
2022-03-27,46050,9.930769333,obs
2022-03-27,46087,NA,obs
2022-03-27,46211,9.804166714,obs
2022-03-27,46041,8.578851881023697,mle
2022-03-27,46050,9.930769333,mle
2022-03-27,46087,9.735093856914052,mle
2022-03-27,46211,9.804166714,mle
2022-03-28,46041,NA,obs
2022-03-28,46050,10.23541667,obs
2022-03-28,46087,NA,obs
2022-03-28,46211,9.979166587,obs
2022-03-28,46041,8.675493813411991,mle
2022-03-28,46050,10.23541667,mle
2022-03-28,46087,9.828297642265829,mle
2022-03-28,46211,9.979166587,mle
2022-03-29,46041,NA,obs
2022-03-29,46050,10.18251753,obs
2022-03-29,46087,NA,obs
2022-03-29,46211,10.01666663,obs
2022-03-29,46041,8.677410314469713,mle
2022-03-29,46050,10.18251753,mle
2022-03-29,46087,9.826775996287036,mle
2022-03-29,46211,10.01666663,mle
2022-03-30,46041,NA,obs
2022-03-30,46050,10.24405606,obs
2022-03-30,46087,NA,obs
2022-03-30,46211,10.025,obs
2022-03-30,46041,8.695643131509593,mle
2022-03-30,46050,10.24405606,mle
2022-03-30,46087,9.841570666290403,mle
2022-03-30,46211,10.025,mle
2022-03-31,46041,NA,obs
2022-03-31,46050,10.31773054,obs
2022-03-31,46087,NA,obs
2022-03-31,46211,10.15,obs
2022-03-31,46041,8.738521885251695,mle
2022-03-31,46050,10.31773054,mle
2022-03-31,46087,9.881011272995991,mle
2022-03-31,46211,10.15,mle
2022-04-01,46041,NA,obs
2022-04-01,46050,10.23846161,obs
2022-04-01,46087,NA,obs
2022-04-01,46211,10.06458322,obs
2022-04-01,46041,8.711872899387592,mle
2022-04-01,46050,10.23846161,mle
2022-04-01,46087,9.850924140095373,mle
2022-04-01,46211,10.06458322,mle
2022-04-02,46041,NA,obs
2022-04-02,46050,10.38309856,obs
2022-04-02,46087,NA,obs
2022-04-02,46211,9.877083202,obs
2022-04-02,46041,8.708534262769827,mle
2022-04-02,46050,10.38309856,mle
2022-04-02,46087,9.844147356441097,mle
2022-04-02,46211,9.877083202,mle
2022-04-03,46041,NA,obs
2022-04-03,46050,10.4479167,obs
2022-04-03,46087,NA,obs
2022-04-03,46211,10.03750008,obs
2022-04-03,46041,8.756495285347887,mle
2022-04-03,46050,10.4479167,mle
2022-04-03,46087,9.888670231982642,mle
2022-04-03,46211,10.03750008,mle
2022-04-04,46041,NA,obs
2022-04-04,46050,9.923776133,obs
2022-04-04,46087,NA,obs
2022-04-04,46211,9.922916611,obs
2022-04-04,46041,8.639140674045048,mle
2022-04-04,46050,9.923776133,mle
2022-04-04,46087,9.767877473643287,mle
2022-04-04,46211,9.922916611,mle
2022-04-05,46041,NA,obs
2022-04-05,46050,9.877464791,obs
2022-04-05,46087,NA,obs
2022-04-05,46211,9.808333357,obs
2022-04-05,46041,8.613217104982962,mle
2022-04-05,46050,9.877464791,mle
2022-04-05,46087,9.738515757544686,mle
2022-04-05,46211,9.808333357000002,mle
2022-04-06,46041,NA,obs
2022-04-06,46050,10.09722212,obs
2022-04-06,46087,NA,obs
2022-04-06,46211,9.775000075,obs
2022-04-06,46041,8.653751779931815,mle
2022-04-06,46050,10.09722212,mle
2022-04-06,46087,9.775612285457028,mle
2022-04-06,46211,9.775000075,mle
2022-04-07,46041,NA,obs
2022-04-07,46050,10.26573436,obs
2022-04-07,46087,NA,obs
2022-04-07,46211,10.17083329,obs
2022-04-07,46041,8.766600434150211,mle
2022-04-07,46050,10.26573436,mle
2022-04-07,46087,9.88502279263891,mle
2022-04-07,46211,10.17083329,mle
2022-04-08,46041,NA,obs
2022-04-08,46050,10.32657334,obs
2022-04-08,46087,NA,obs
2022-04-08,46211,10.42083337,obs
2022-04-08,46041,8.830941499741279,mle
2022-04-08,46050,10.32657334,mle
2022-04-08,46087,9.945925711193462,mle
2022-04-08,46211,10.42083337,mle
2022-04-09,46041,NA,obs
2022-04-09,46050,10.19791669,obs
2022-04-09,46087,NA,obs
2022-04-09,46211,10.12499996,obs
2022-04-09,46041,8.754579832927293,mle
2022-04-09,46050,10.197916689999998,mle
2022-04-09,46087,9.866125897342963,mle
2022-04-09,46211,10.12499996,mle
2022-04-10,46041,NA,obs
2022-04-10,46050,9.965492746,obs
2022-04-10,46087,NA,obs
2022-04-10,46211,9.506249944,obs
2022-04-10,46041,8.596573649433154,mle
2022-04-10,46050,9.965492745999999,mle
2022-04-10,46087,9.704681566812308,mle
2022-04-10,46211,9.506249944000002,mle
2022-04-11,46041,NA,obs
2022-04-11,46050,9.75957445,obs
2022-04-11,46087,NA,obs
2022-04-11,46211,9.195833385,obs
2022-04-11,46041,8.502637792692239,mle
2022-04-11,46050,9.75957445,mle
2022-04-11,46087,9.607307563034878,mle
2022-04-11,46211,9.195833385,mle
2022-04-12,46041,NA,obs
2022-04-12,46050,9.502777788,obs
2022-04-12,46087,NA,obs
2022-04-12,46211,9.141666671,obs
2022-04-12,46041,8.447999071706487,mle
2022-04-12,46050,9.502777788,mle
2022-04-12,46087,9.549230695012616,mle
2022-04-12,46211,9.141666671,mle
2022-04-13,46041,NA,obs
2022-04-13,46050,9.447222054,obs
2022-04-13,46087,NA,obs
2022-04-13,46211,8.943750004,obs
2022-04-13,46041,8.40436105374081,mle
2022-04-13,46050,9.447222054,mle
2022-04-13,46087,9.502154530010422,mle
2022-04-13,46211,8.943750004,mle
2022-04-14,46041,NA,obs
2022-04-14,46050,9.522916754,obs
2022-04-14,46087,NA,obs
2022-04-14,46211,9.227083405,obs
2022-04-14,46041,8.477922928839162,mle
2022-04-14,46050,9.522916754,mle
2022-04-14,46087,9.572278258072261,mle
2022-04-14,46211,9.227083405,mle
2022-04-15,46041,NA,obs
2022-04-15,46050,9.616083912,obs
2022-04-15,46087,NA,obs
2022-04-15,46211,9.227083425,obs
2022-04-15,46041,8.50061321829185,mle
2022-04-15,46050,9.616083912,mle
2022-04-15,46087,9.591530400488436,mle
2022-04-15,46211,9.227083425,mle
2022-04-16,46041,NA,obs
2022-04-16,46050,9.726388951,obs
2022-04-16,46087,NA,obs
2022-04-16,46211,9.172916631,obs
2022-04-16,46041,8.516218147040828,mle
2022-04-16,46050,9.726388950999999,mle
2022-04-16,46087,9.603697182200897,mle
2022-04-16,46211,9.172916631,mle
2022-04-17,46041,NA,obs
2022-04-17,46050,9.699300766,obs
2022-04-17,46087,NA,obs
2022-04-17,46211,9.310416659,obs
2022-04-17,46041,8.542208144636328,mle
2022-04-17,46050,9.699300766,mle
2022-04-17,46087,9.626249032759883,mle
2022-04-17,46211,9.310416658999998,mle
2022-04-18,46041,NA,obs
2022-04-18,46050,9.72847214,obs
2022-04-18,46087,NA,obs
2022-04-18,46211,9.441666623,obs
2022-04-18,46041,8.577767289435867,mle
2022-04-18,46050,9.72847214,mle
2022-04-18,46087,9.658370030522908,mle
2022-04-18,46211,9.441666623,mle
2022-04-19,46041,NA,obs
2022-04-19,46050,9.689510432,obs
2022-04-19,46087,NA,obs
2022-04-19,46211,9.383333266,obs
2022-04-19,46041,8.564013274860322,mle
2022-04-19,46050,9.689510432,mle
2022-04-19,46087,9.64117786891085,mle
2022-04-19,46211,9.383333266,mle
2022-04-20,46041,NA,obs
2022-04-20,46050,9.746153838,obs
2022-04-20,46087,NA,obs
2022-04-20,46211,9.45208325,obs
2022-04-20,46041,8.592869940647276,mle
2022-04-20,46050,9.746153838,mle
2022-04-20,46087,9.66659638766129,mle
2022-04-20,46211,9.452083249999998,mle
2022-04-21,46041,NA,obs
2022-04-21,46050,9.772028049,obs
2022-04-21,46087,NA,obs
2022-04-21,46211,9.24999996,obs
2022-04-21,46041,8.564015997219665,mle
2022-04-21,46050,9.772028048999998,mle
2022-04-21,46087,9.634304297197165,mle
2022-04-21,46211,9.249999960000002,mle
2022-04-22,46041,NA,obs
2022-04-22,46050,9.77832176,obs
2022-04-22,46087,NA,obs
2022-04-22,46211,9.712499897,obs
2022-04-22,46041,8.658581137341487,mle
2022-04-22,46050,9.778321759999999,mle
2022-04-22,46087,9.725431290282474,mle
2022-04-22,46211,9.712499897,mle
2022-04-23,46041,NA,obs
2022-04-23,46050,10.1534723,obs
2022-04-23,46087,NA,obs
2022-04-23,46211,10.23541663,obs
2022-04-23,46041,8.835286329236212,mle
2022-04-23,46050,10.1534723,mle
2022-04-23,46087,9.898698335140681,mle
2022-04-23,46211,10.23541663,mle
2022-04-24,46041,NA,obs
2022-04-24,46050,10.66944447,obs
2022-04-24,46087,NA,obs
2022-04-24,46211,10.50208338,obs
2022-04-24,46041,8.989904697391225,mle
2022-04-24,46050,10.66944447,mle
2022-04-24,46087,10.049878556259184,mle
2022-04-24,46211,10.50208338,mle
2022-04-25,46041,NA,obs
2022-04-25,46050,10.37062938,obs
2022-04-25,46087,NA,obs
2022-04-25,46211,10.41458344,obs
2022-04-25,46041,8.920847693053606,mle
2022-04-25,46050,10.37062938,mle
2022-04-25,46087,9.97738340488505,mle
2022-04-25,46211,10.41458344,mle
2022-04-26,46041,NA,obs
2022-04-26,46050,10.63472222,obs
2022-04-26,46087,NA,obs
2022-04-26,46211,10.81875014,obs
2022-04-26,46041,9.053579954893674,mle
2022-04-26,46050,10.63472222,mle
2022-04-26,46087,10.106677519688605,mle
2022-04-26,46211,10.818750139999999,mle
2022-04-27,46041,NA,obs
2022-04-27,46050,10.47622373,obs
2022-04-27,46087,NA,obs
2022-04-27,46211,11.01875005,obs
2022-04-27,46041,9.066384176836378,mle
2022-04-27,46050,10.47622373,mle
2022-04-27,46087,10.116043594594792,mle
2022-04-27,46211,11.01875005,mle
2022-04-28,46041,NA,obs
2022-04-28,46050,10.65763886,obs
2022-04-28,46087,NA,obs
2022-04-28,46211,11.33333331,obs
2022-04-28,46041,9.166154852044006,mle
2022-04-28,46050,10.65763886,mle
2022-04-28,46087,10.212376122765907,mle
2022-04-28,46211,11.33333331,mle
2022-04-29,46041,NA,obs
2022-04-29,46050,10.57676062,obs
2022-04-29,46087,NA,obs
2022-04-29,46211,11.30416665,obs
2022-04-29,46041,9.149961199796811,mle
2022-04-29,46050,10.57676062,mle
2022-04-29,46087,10.192744323482197,mle
2022-04-29,46211,11.30416665,mle
2022-04-30,46041,NA,obs
2022-04-30,46050,10.45174827,obs
2022-04-30,46087,NA,obs
2022-04-30,46211,11.24166667,obs
2022-04-30,46041,9.118944417638208,mle
2022-04-30,46050,10.45174827,mle
2022-04-30,46087,10.158289394287081,mle
2022-04-30,46211,11.24166667,mle
2022-05-01,46041,NA,obs
2022-05-01,46050,10.7472223,obs
2022-05-01,46087,NA,obs
2022-05-01,46211,11.28125002,obs
2022-05-01,46041,9.187919576597237,mle
2022-05-01,46050,10.7472223,mle
2022-05-01,46087,10.223826406209596,mle
2022-05-01,46211,11.28125002,mle
2022-05-02,46041,NA,obs
2022-05-02,46050,10.8256944,obs
2022-05-02,46087,NA,obs
2022-05-02,46211,11.50416662,obs
2022-05-02,46041,9.250452347863973,mle
2022-05-02,46050,10.8256944,mle
2022-05-02,46087,10.282921030439818,mle
2022-05-02,46211,11.50416662,mle
2022-05-03,46041,NA,obs
2022-05-03,46050,10.59020972,obs
2022-05-03,46087,NA,obs
2022-05-03,46211,11.55625004,obs
2022-05-03,46041,9.220222205002491,mle
2022-05-03,46050,10.59020972,mle
2022-05-03,46087,10.249252740541822,mle
2022-05-03,46211,11.556250039999998,mle
2022-05-04,46041,NA,obs
2022-05-04,46050,11.04236111,obs
2022-05-04,46087,NA,obs
2022-05-04,46211,11.83777775,obs
2022-05-04,46041,9.36547227770355,mle
2022-05-04,46050,11.04236111,mle
2022-05-04,46087,10.391064666206365,mle
2022-05-04,46211,11.83777775,mle
2022-05-05,46041,NA,obs
2022-05-05,46050,10.87887343,obs
2022-05-05,46087,NA,obs
2022-05-05,46211,NA,obs
2022-05-05,46041,9.33758428273233,mle
2022-05-05,46050,10.87887343,mle
2022-05-05,46087,10.359738524198631,mle
2022-05-05,46211,11.830104511872655,mle
2022-05-06,46041,NA,obs
2022-05-06,46050,10.77013884,obs
2022-05-06,46087,NA,obs
2022-05-06,46211,NA,obs
2022-05-06,46041,9.322652169860085,mle
2022-05-06,46050,10.77013884,mle
2022-05-06,46087,10.341368264289873,mle
2022-05-06,46211,11.835387155844284,mle
2022-05-07,46041,NA,obs
2022-05-07,46050,10.75774654,obs
2022-05-07,46087,NA,obs
2022-05-07,46211,NA,obs
2022-05-07,46041,9.330516932020558,mle
2022-05-07,46050,10.75774654,mle
2022-05-07,46087,10.345794879413834,mle
2022-05-07,46211,11.863466674848633,mle
2022-05-08,46041,NA,obs
2022-05-08,46050,10.81874996,obs
2022-05-08,46087,NA,obs
2022-05-08,46211,NA,obs
2022-05-08,46041,9.355748865511263,mle
2022-05-08,46050,10.81874996,mle
2022-05-08,46087,10.367588665868022,mle
2022-05-08,46211,11.90891336518321,mle
2022-05-09,46041,NA,obs
2022-05-09,46050,10.78661966,obs
2022-05-09,46087,NA,obs
2022-05-09,46211,NA,obs
2022-05-09,46041,9.358943147871063,mle
2022-05-09,46050,10.78661966,mle
2022-05-09,46087,10.367344801191308,mle
2022-05-09,46211,11.932322404386884,mle
2022-05-10,46041,NA,obs
2022-05-10,46050,11.07202786,obs
2022-05-10,46087,NA,obs
2022-05-10,46211,NA,obs
2022-05-10,46041,9.437274584460615,mle
2022-05-10,46050,11.07202786,mle
2022-05-10,46087,10.442238090744345,mle
2022-05-10,46211,12.030868597820309,mle
2022-05-11,46041,NA,obs
2022-05-11,46050,11.31690147,obs
2022-05-11,46087,NA,obs
2022-05-11,46211,NA,obs
2022-05-11,46041,9.50601457390133,mle
2022-05-11,46050,11.31690147,mle
2022-05-11,46087,10.507539933148548,mle
2022-05-11,46211,12.1198233441049,mle
2022-05-12,46041,NA,obs
2022-05-12,46050,11.02361104,obs
2022-05-12,46087,NA,obs
2022-05-12,46211,NA,obs
2022-05-12,46041,9.447412163997132,mle
2022-05-12,46050,11.02361104,mle
2022-05-12,46087,10.445499376207836,mle
2022-05-12,46211,12.081435691044573,mle
2022-05-13,46041,NA,obs
2022-05-13,46050,10.88749991,obs
2022-05-13,46087,NA,obs
2022-05-13,46211,NA,obs
2022-05-13,46041,9.42600211125852,mle
2022-05-13,46050,10.88749991,mle
2022-05-13,46087,10.420651176432708,mle
2022-05-13,46211,12.080240395149833,mle
2022-05-14,46041,NA,obs
2022-05-14,46050,10.93239423,obs
2022-05-14,46087,NA,obs
2022-05-14,46211,NA,obs
2022-05-14,46041,9.447422248915954,mle
2022-05-14,46050,10.93239423,mle
2022-05-14,46087,10.438633167053629,mle
2022-05-14,46211,12.121875289651141,mle
2022-05-15,46041,NA,obs
2022-05-15,46050,11.20138872,obs
2022-05-15,46087,NA,obs
2022-05-15,46211,NA,obs
2022-05-15,46041,9.521869811708303,mle
2022-05-15,46050,11.20138872,mle
2022-05-15,46087,10.509642582809466,mle
2022-05-15,46211,12.216537609287368,mle
2022-05-16,46041,NA,obs
2022-05-16,46050,11.22916659,obs
2022-05-16,46087,NA,obs
2022-05-16,46211,NA,obs
2022-05-16,46041,9.539239790586517,mle
2022-05-16,46050,11.22916659,mle
2022-05-16,46087,10.523574414651165,mle
2022-05-16,46211,12.254122345009455,mle
2022-05-17,46041,NA,obs
2022-05-17,46050,11.4826389,obs
2022-05-17,46087,NA,obs
2022-05-17,46211,NA,obs
2022-05-17,46041,9.610014436763585,mle
2022-05-17,46050,11.4826389,mle
2022-05-17,46087,10.590910913791719,mle
2022-05-17,46211,12.345111748030396,mle
2022-05-18,46041,NA,obs
2022-05-18,46050,11.47430562,obs
2022-05-18,46087,NA,obs
2022-05-18,46211,NA,obs
2022-05-18,46041,9.618839659503683,mle
2022-05-18,46050,11.47430562,mle
2022-05-18,46087,10.5962979894953,mle
2022-05-18,46211,12.374151727614365,mle
2022-05-19,46041,NA,obs
2022-05-19,46050,11.45070414,obs
2022-05-19,46087,NA,obs
2022-05-19,46211,NA,obs
2022-05-19,46041,9.62405206333139,mle
2022-05-19,46050,11.45070414,mle
2022-05-19,46087,10.598072246286495,mle
2022-05-19,46211,12.399578888285948,mle
2022-05-20,46041,NA,obs
2022-05-20,46050,11.51666666,obs
2022-05-20,46087,NA,obs
2022-05-20,46211,NA,obs
2022-05-20,46041,9.650457437716788,mle
2022-05-20,46050,11.51666666,mle
2022-05-20,46087,10.62103947363538,mle
2022-05-20,46211,12.446199019515221,mle
2022-05-21,46041,NA,obs
2022-05-21,46050,11.5258741,obs
2022-05-21,46087,NA,obs
2022-05-21,46211,NA,obs
2022-05-21,46041,9.663433211599317,mle
2022-05-21,46050,11.5258741,mle
2022-05-21,46087,10.630577100481393,mle
2022-05-21,46211,12.479389550241622,mle
2022-05-22,46041,NA,obs
2022-05-22,46050,11.54507045,obs
2022-05-22,46087,NA,obs
2022-05-22,46211,NA,obs
2022-05-22,46041,9.678772598937398,mle
2022-05-22,46050,11.54507045,mle
2022-05-22,46087,10.642478340782962,mle
2022-05-22,46211,12.514943694423579,mle
2022-05-23,46041,NA,obs
2022-05-23,46050,11.73680554,obs
2022-05-23,46087,NA,obs
2022-05-23,46211,NA,obs
2022-05-23,46041,9.734938751905435,mle
2022-05-23,46050,11.73680554,mle
2022-05-23,46087,10.695206346714484,mle
2022-05-23,46211,12.591324604235488,mle
2022-05-24,46041,NA,obs
2022-05-24,46050,12.0021428,obs
2022-05-24,46087,NA,obs
2022-05-24,46211,NA,obs
2022-05-24,46041,9.808520927179222,mle
2022-05-24,46050,12.0021428,mle
2022-05-24,46087,10.765350374951758,mle
2022-05-24,46211,12.685121536353149,mle
2022-05-25,46041,NA,obs
2022-05-25,46050,12.2964539,obs
2022-05-25,46087,NA,obs
2022-05-25,46211,NA,obs
2022-05-25,46041,9.888959001453314,mle
2022-05-25,46050,12.2964539,mle
2022-05-25,46087,10.842350302189333,mle
2022-05-25,46211,12.785774367471115,mle
2022-05-26,46041,NA,obs
2022-05-26,46050,12.6657344,obs
2022-05-26,46087,NA,obs
2022-05-26,46211,12.90416674,obs
2022-05-26,46041,9.987136617138324,mle
2022-05-26,46050,12.6657344,mle
2022-05-26,46087,10.937089770837831,mle
2022-05-26,46211,12.90416674,mle
2022-05-27,46041,NA,obs
2022-05-27,46050,12.68461538,obs
2022-05-27,46087,NA,obs
2022-05-27,46211,12.88958331,obs
2022-05-27,46041,9.992822004775865,mle
2022-05-27,46050,12.684615379999999,mle
2022-05-27,46087,10.939337011438857,mle
2022-05-27,46211,12.88958331,mle
2022-05-28,46041,NA,obs
2022-05-28,46050,12.88888892,obs
2022-05-28,46087,NA,obs
2022-05-28,46211,13.02708348,obs
2022-05-28,46041,10.063082310694302,mle
2022-05-28,46050,12.88888892,mle
2022-05-28,46087,11.00615917032078,mle
